index,smiles,ames
train_1,O=C1c2ccccc2C(=O)c2c1ccc1c2[nH]c2c3C(=O)c4ccccc4C(=O)c3c3[nH]c4c5C(=O)c6ccccc6C(=O)c5ccc4c3c12,0
train_2,NNC(=O)CNC(=O)C=N#N,1
train_3,O=C1NC(=O)C(=N#N)C=N1,1
train_4,NC(=O)CNC(=O)C=N#N,1
train_5,CCCCN(CC(O)C1=CC(=N#N)C(=O)C=C1)N=O,1
train_6,NC(COC(=O)C=N#N)C(=O)O,1
train_7,CCN(CC(O)C1=CC(=O)C(=N#N)C=C1)N=O,1
train_8,CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC12C)C(=O)C,0
train_9,Nc1nc(N)nc(N)n1,0
train_10,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(c1)[N+](=O)[O-],1
train_11,CC(C)CC(=O)Nc1snc2ccccc12,0
train_12,Cc1cccc(c1C)[N+](=O)[O-],1
train_13,CCCCCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4C3CCC12C)C#C,0
train_14,CCC[N+](=O)[O-],0
train_15,OC(=O)c1cc(cc2cccnc12)[N+](=O)[O-],1
train_16,OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,1
train_17,NC(=O)Nc1nc2ccccc2[nH]1,1
train_18,C[C@@H](O)CCC(=O)c1cocc1,0
train_19,Nc1ccc2c(oc3ccccc23)c1,1
train_20,Cc1ccc2ccc3ccc(C)cc3c2c1,1
train_21,Cc1cc2c(nc(N)n2C)c2ncc(nc12)c1ccccc1,1
train_22,CCN(N=O)/C(=N/O)/C=O,1
train_23,NNc1nnc(NN)c2ccccc12,1
train_24,C=CC(=O)NCNC(=O)C=C,1
train_25,OCc1cc2-c3ccccc3-c3cccc(c1)c23,0
train_26,Cc1ccccc1c1ccccc1,0
train_27,CC1C2C3C(C)C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C35C1C(=O)C16C(=O)c3c(O)cc(C)cc3C(=O)C241,0
train_28,Cc1nc(N)nc(N)n1,0
train_29,CCNc1nc(N)nc(Cl)n1,0
train_30,C1CCC(CC1)N1C2C1c1ccccc1-c1ccccc21,1
train_32,CC(=O)NC(CSC(=C(Cl)Cl)Cl)C(=O)O,1
train_33,CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@@H]12,1
train_34,CCNN=NCC,1
train_35,Oc1cccc(c1)[N+](=O)[O-],1
train_36,[O-][N+](=O)c1ccc2-c3cccc4cccc(-c2c1)c34,1
train_37,OCc1occc1,0
train_38,C(Cc1ccc(cc1)c1ccccc1)[C@H]1CO1,1
train_39,Oc1cc2c3ccccc3ccc2c2ccccc12,1
train_40,Oc1ccc2ccccc2c1N=Nc1ccccc1,1
train_41,N[C@@H]1CC[C@@H](C[C@@H]2CC[C@@H](N)CC2)CC1,0
train_42,COC(=O)C12CC1(C=O)C(=CC1CC(C)(C)CC21)C=O,1
train_43,CCOC(=O)C(C)Br,1
train_44,COC1(CCCC1)OC1CCC2C3CCC4CC5SC5CC4(C)C3CCC12C,0
train_45,CCN(CCCl)CCCNc1c2CCCCc2nc2ccccc12,1
train_46,C/C(=C\C(=C\C1=CCOC1=O)\C)/C=C/C=C(\C)/C(=O)C12OC1C(O)(CCO)NC2=O,1
train_48,Nc1ccc(c(N)c1)[N+](=O)[O-],1
train_50,Cc1ccccc1C(=O)O,0
train_51,CC(=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C)C,1
train_52,Brc1ccccc1,0
train_53,Cc1cc(N)c(cc1Cl)S(=O)(=O)O,0
train_54,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,0
train_55,CN(C)CCNC(=O)c1cccc2C(=O)c3ccccc3C(=O)c12,1
train_56,Nc1snc2c(Cl)cc(Cl)cc12,1
train_57,ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CC2(Cl)Cl)C(Cl)Cl,0
train_58,Cc1cc(O)c2C(=O)c3c(O)cc(O)c(c3C(=O)c2c1)c1c(O)cc(O)c2C(=O)c3c(O)cc(C)cc3C(=O)c12,0
train_60,O=NN1CCOCC1,1
train_61,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,1
train_62,Nc1ccc(Nc2ccccc2)cc1,0
train_63,CCCCCOC(=O)C(=C)C,0
train_64,OC(=O)c1ccccc1,0
train_65,Nc1ncnc2c1ncn2Cc1ccc(cc1)[N+](=O)[O-],1
train_66,C1c2cccc3ccc4cccc1c4c23,1
train_67,Fc1ccccc1c1ccccc1,0
train_68,Clc1ccc(cc1Cl)c1ccc(Cl)c(Cl)c1Cl,0
train_69,CC(=CCc1ccc(O)c2c(=O)c3c(O)c4c(OC5OC=CC45O)cc3oc12)C,1
train_70,CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C,0
train_71,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,0
train_72,Nc1ccc2ccccc2c1N=Nc1ccc(cc1)[N+](=O)[O-],1
train_73,COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO,1
train_74,Oc1ccc(Cc2ccccc2O)cc1,0
train_75,COC(C)CCO,0
train_76,CC(=O)N(O)c1ccc(Oc2ccccc2)cc1,1
train_78,CCCCCCCC(=O)Cl,1
train_79,CC(C)(C)C(Br)C(=O)Nc1ccccc1,0
train_80,CCN(CC)CCNc1ccc2nc(C)n3c4ccc(O)cc4c(=O)c1c23,1
train_81,CCNC(=O)Nc1ncc(s1)[N+](=O)[O-],1
train_82,COc1ccc(O)c2c(=O)c3c(OC)cc4O[C@@H]5OC=C[C@H]5c4c3oc12,1
train_83,[O-][N+](=O)c1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,1
train_84,COC(=O)C(=C)C,0
train_85,Oc1ccc2-c3ccc(O)c4C(=O)C=C[C@@](O)([C@@H]5[C@H]6O[C@H]6C(=O)c1c25)c34,1
train_87,Cc1cc(C)n(n1)c1[nH]nc(NN)c2-c1nc1c2cccc1,0
train_88,Fc1cnc2ccc3cccnc3c2c1,1
train_89,SC(NC(=O)NC(S)c1nc2ccccc2s1)c1nc2ccccc2s1,1
train_90,Cc1c2ccccc2c(CBr)c2ccccc12,1
train_91,Nc1cccc2cc3CCCCc3nc12,1
train_92,COC(=O)C=C,0
train_93,CC(=O)Nc1c(O)cc2-c3ccccc3-c3cccc1c23,1
train_94,OC1Cc2cc3ccc4cccc5ccc(c2C=C1)c3c45,1
train_95,Oc1ccc2-c3cccc4c(ccc(-c2c1)c34)[N+](=O)[O-],1
train_96,OC1C=Cc2cc3ccccc3c(c2C1O)[N+](=O)[O-],0
train_97,Cc1ccc(N=Nc2c(O)c(cc3ccccc23)C(=O)O)c(c1)S(=O)(=O)O,0
train_98,CN=C1C=CC(=C(c2ccc(cc2)N(C)C)c2ccc(cc2)N(C)C)C=C1,0
train_99,CCCCN(COC(=O)C)N=O,1
train_100,C1CCC2=C(C1)c1cc3ccccc3c3cc4ccccc4c2c13,1
train_102,Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl,0
train_103,C1CSCCO1,0
train_104,Cc1ccccc1N,1
train_105,O=C1c2ccccc2-c2ccccc12,0
train_106,C1CCCC2OC2CC1,0
train_107,C1Cc2c(C=C1)ccc1nc3ccc4ccccc4c3cc21,1
train_108,CS(=O)(=O)Nc1ccc(Nc2c3ccc(cc3nc3ccc(cc23)N=N#N)N=N#N)cc1,0
train_109,CN(C)CCN(Cc1ccccc1)c1ccccn1,0
train_110,C/C=C(\Cl)/C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O,1
train_111,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O,0
train_112,CCNc1ccccc1,0
train_113,Nc1ccccc1SCCSc1ccccc1N,1
train_114,ONC(=O)c1ccccc1O,1
train_115,Nc1c(O)cccc1[N+](=O)[O-],0
train_116,CC(C)(C)c1ccc(/C=C/c2ccc(N)cc2)cc1,0
train_117,OC(=O)C[C@H]([C@H](CC(=O)O)C(=O)O)C(=O)O,1
train_118,C1Cc2cccc3cccc1c23,0
train_119,CN(C)CCCNc1c2ccccc2nc2c(ccc(c12)[N+](=O)[O-])N(CCO)CCO,1
train_120,CCCCOc1ccc(cc1)N=O,1
train_121,Cc1cc(c(N)cc1Cl)S(=O)(=O)O,1
train_122,COC(=O)C1=CCCN(C)C1,1
train_124,OC(=O)C=C,0
train_125,OC(=O)CC(=O)O,0
train_126,CCCCC=O,0
train_127,O=Nc1ccccc1c1ccccc1,1
train_128,CN(C1CCN(CC1)c1nc2ccccc2n1Cc1ccc(F)cc1)c1nccc(O)n1,0
train_129,CSC(C)(C)C(=O)NC(CS)C(=O)O,0
train_130,C[n+]1ccc(cc1)c1cc[n+](C)cc1,0
train_131,OC(CN=N#N)C(O)C(O)C(O)C=O,1
train_132,CCCCCNc1snc2ccccc12,0
train_133,CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,0
train_134,Cc1ccc(cc1S(=O)(=O)O)[N+](=O)[O-],0
train_135,OS(=O)(=O)c1cccc(c1)[N+](=O)[O-],0
train_136,COc1ccc(O)c(c1)C(C)(C)C,0
train_137,[O-][N+](=O)c1ccc2C(=O)N(CCl)C(=O)c2c1,1
train_138,CC1CC(C)(C)c2cc(C(=O)C)c(C)cc2C1(C)C,0
train_139,OCc1cc2ccc3cccc4ccc(c1)c2c34,1
train_140,CCCCON(OC(=O)C)C(=O)c1ccc(cc1)c1ccccc1,1
train_141,C[C@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@H]1CC[C@@]2(O)C#C,0
train_142,N#Cc1ccccc1C#N,0
train_143,CC(=O)Nc1cc(ccc1C)N=[N+]([O-])c1ccc(C)c(NC(=O)C)c1,0
